"","subj","experiment.x","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","crawls","cruises","fearheights","handtohand","hiddensearch","pincer","points","pullstand","reaches","rolls","sits","stands","strangerdanger","walks","waves","exp","agegroup","looking.to.unexp","LTdiff"
"76","76","RISK10",9.9333,17.5157303370787,0.73397555,0.26602445,29.72,10.77,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.73397555,18.95
"77","77","RISK10",10.6333,22.6,0.52951144,0.47048856,9.38,8.33,9,10.5,11.0344827586207,7,6.5,9,10,9.25,3,5.5,6,14,8.89421052631579,14.5,7,"RISK","10",0.52951144,1.05
"78","78","RISK10",10.0667,20.3,0.39440449,0.60559551,22.49,34.53,10,11,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,12,9.09294871794872,4.27025641025641,4.47481927710843,7,12,9,13,12,"RISK","10",0.39440449,-12.04
"79","79","RISK10",9.8,17.5157303370787,0.2918955,0.7081045,19.67,47.71,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.2918955,-28.04
"80","80","RISK10",10.6,22.8,0.6664776,0.3335224,17.63,8.82,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.6664776,8.81
"81","81","RISK10",10.2333,20.4,0.61828069,0.38171931,14.78,9.13,11,13,11.0344827586207,11,16,10,6,10,3,6,8,11,8.89421052631579,15,5,"RISK","10",0.61828069,5.65
"82","82","RISK10",9.6,20.3,0.60326531,0.39673469,11.09,7.29,8,10,12,8,8,8,12,8,6,4,6,11,12,12,12,"RISK","10",0.60326531,3.8
"83","83","RISK10",10.0333,17.5157303370787,0.37311853,0.62688147,15.87,26.66,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.37311853,-10.79
"84","84","RISK10",10.1667,17.5157303370787,0.47751149,0.52248851,14.55,15.92,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.47751149,-1.37
"85","85","RISK10",9.8333,17.5157303370787,0.28803578,0.71196422,19.32,47.76,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.28803578,-28.44
"86","86","RISK10",10.3667,17.5157303370787,0.32103166,0.67896834,7.66,16.19,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.32103166,-8.53
"87","87","RISK10",9.6333,20.2,0.75194565,0.24805435,30.44,10.04,7,10,9,7,13,8,11,10,3,5,7,11,9,12,12,"RISK","10",0.75194565,20.4
"88","88","RISK10",10.4667,20.5,0.55365517,0.44634483,20.07,16.18,8,9,16,11,7,8.4372602739726,9,10,4,5,5,10,14,14,12,"RISK","10",0.55365517,3.89
"89","89","RISK10",9.6333,17.5157303370787,0.34104478,0.65895522,16,30.91,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.34104478,-14.91
"90","90","RISK10",10.1,17.5157303370787,0.57621486,0.42378514,32.08,23.59,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.57621486,8.49
